sample_id,status,history,original_query,rewritten_query,groundtruth,Latency,RougeL,Bleu,LLMJ
29,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast. | What causes irregular heartbeat? | They can be related to stress or too much caffeine or nicotine. But sometimes, PVCs can be caused by heart disease or electrolyte imbalance. | What's the difference between flutter and fibrillation? | In atrial fibrillation, the atria beat irregularly. In atrial flutter, the atria beat regularly, but faster than usual and more often than the ventricles, so you may have four atrial beats to every one ventricular beat.",How does afib affect an ECG?,How does atrial fibrillation affect an ECG?,How does atrial fibrillation affect electrocardiography?,89.1024,0.7692,0.5411,1.00
30,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast. | What causes irregular heartbeat? | They can be related to stress or too much caffeine or nicotine. But sometimes, PVCs can be caused by heart disease or electrolyte imbalance. | What's the difference between flutter and fibrillation? | In atrial fibrillation, the atria beat irregularly. In atrial flutter, the atria beat regularly, but faster than usual and more often than the ventricles, so you may have four atrial beats to every one ventricular beat. | How does atrial fibrillation affect electrocardiography? | The symptoms of atrial fibrillation are related to the loss of atrial mechanical activity (atrial contraction) and rapid ventricular heart rates, both of which can reduce cardiac output and lead to congestive heart failure.",Does it shorten your life?,Does atrial fibrillation shorten your life?,Does atrial flutter shorten your life?,74.6361,0.8333,0.4889,0.00
31,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast. | What causes irregular heartbeat? | They can be related to stress or too much caffeine or nicotine. But sometimes, PVCs can be caused by heart disease or electrolyte imbalance. | What's the difference between flutter and fibrillation? | In atrial fibrillation, the atria beat irregularly. In atrial flutter, the atria beat regularly, but faster than usual and more often than the ventricles, so you may have four atrial beats to every one ventricular beat. | How does atrial fibrillation affect electrocardiography? | The symptoms of atrial fibrillation are related to the loss of atrial mechanical activity (atrial contraction) and rapid ventricular heart rates, both of which can reduce cardiac output and lead to congestive heart failure. | Does atrial flutter shorten your life? | People can live long, healthy and active lives with AFib. Controlling your risk factors for heart disease and stroke and knowing what can possibly trigger your AFib will help improve your long-term management of AFib.",What triggers it?,What triggers atrial flutter?,What triggers atrial flutter?,53.0595,1.0000,1.0000,1.00
32,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast. | What causes irregular heartbeat? | They can be related to stress or too much caffeine or nicotine. But sometimes, PVCs can be caused by heart disease or electrolyte imbalance. | What's the difference between flutter and fibrillation? | In atrial fibrillation, the atria beat irregularly. In atrial flutter, the atria beat regularly, but faster than usual and more often than the ventricles, so you may have four atrial beats to every one ventricular beat. | How does atrial fibrillation affect electrocardiography? | The symptoms of atrial fibrillation are related to the loss of atrial mechanical activity (atrial contraction) and rapid ventricular heart rates, both of which can reduce cardiac output and lead to congestive heart failure. | Does atrial flutter shorten your life? | People can live long, healthy and active lives with AFib. Controlling your risk factors for heart disease and stroke and knowing what can possibly trigger your AFib will help improve your long-term management of AFib. | What triggers atrial flutter? | Ischemia : Lower blood flow to the heart due to coronary heart disease, hardening of the arteries, or a blood clot. ... Cardiomyopathy : Disease of the heart muscle.",How do you stop an attack?,How do you stop an atrial flutter attack?,How do you stop an atrial flutter attack?,82.6225,1.0000,1.0000,1.00
33,REWRITTEN,"Tell me about the types of irregular heart beat. | Atrial fibrillation is a very common irregular heart rhythm that causes the atria, the upper chambers of the heart, to contract abnormally. Atrial flutter. This is an arrhythmia caused by one or more rapid circuits in the atrium. | How serious is an irregular heart beat? | Coronary artery disease can cause dangerous arrhythmias like atrial fibrillation, or AFib. It's a rapid, quivering heartbeat that can lead to heart palpitations, blood clots, heart attack and stroke. | What are the different types of tachycardia? | Atrial fibrillation. Atrial fibrillation is a rapid heart rate caused by chaotic, irregular electrical impulses in the upper chambers of the heart (atria). ...Atrial flutter. ...Supraventricular tachycardia (SVT). ...Ventricular tachycardia. ...Ventricular fibrillation. | What is atrial flutter? | Atrial flutter (AFL) is a type of abnormal heart rate, or arrhythmia. It occurs when the upper chambers of your heart beat too fast. | What causes irregular heartbeat? | They can be related to stress or too much caffeine or nicotine. But sometimes, PVCs can be caused by heart disease or electrolyte imbalance. | What's the difference between flutter and fibrillation? | In atrial fibrillation, the atria beat irregularly. In atrial flutter, the atria beat regularly, but faster than usual and more often than the ventricles, so you may have four atrial beats to every one ventricular beat. | How does atrial fibrillation affect electrocardiography? | The symptoms of atrial fibrillation are related to the loss of atrial mechanical activity (atrial contraction) and rapid ventricular heart rates, both of which can reduce cardiac output and lead to congestive heart failure. | Does atrial flutter shorten your life? | People can live long, healthy and active lives with AFib. Controlling your risk factors for heart disease and stroke and knowing what can possibly trigger your AFib will help improve your long-term management of AFib. | What triggers atrial flutter? | Ischemia : Lower blood flow to the heart due to coronary heart disease, hardening of the arteries, or a blood clot. ... Cardiomyopathy : Disease of the heart muscle. | How do you stop an atrial flutter attack? | Take slow, deep breaths. It is believed that yoga can be beneficial to those with A-fib to relax.",What is the best exercise for it?,What is the best exercise for managing atrial flutter?,What is the best exercise for atrial flutter?,90.2067,0.9412,0.6580,0.90
34,KEPT_ORIGINAL,,What was the neolithic revolution?,What was the Neolithic Revolution?,What was the neolithic revolution?,60.6906,1.0000,0.0000,1.00
35,REWRITTEN,"What was the neolithic revolution? | The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization.",When did it start and end?,When did the Neolithic Revolution start and end?,When did the Neolithic revolution start and end?,82.4291,1.0000,0.5969,1.00
36,REWRITTEN,"What was the neolithic revolution? | The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization. | When did the Neolithic revolution start and end? | The Neolithic Revolution—also referred to as the Agricultural Revolution—is thought to have begun about 12,000 years ago.",Why did it start?,Why did the Neolithic Revolution start?,Why did the Neolithic revolution start?,68.0693,1.0000,0.4889,1.00
37,REWRITTEN,"What was the neolithic revolution? | The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization. | When did the Neolithic revolution start and end? | The Neolithic Revolution—also referred to as the Agricultural Revolution—is thought to have begun about 12,000 years ago. | Why did the Neolithic revolution start? | The Neolithic Era began when some groups of humans gave up the nomadic, hunter-gatherer lifestyle completely to begin farming.",What did the neolithic invent?,What did the Neolithic Revolution lead to in terms of inventions or technological advancements?,What did the neolithic invent?,126.2217,0.4211,0.0000,0.80
38,REWRITTEN,"What was the neolithic revolution? | The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization. | When did the Neolithic revolution start and end? | The Neolithic Revolution—also referred to as the Agricultural Revolution—is thought to have begun about 12,000 years ago. | Why did the Neolithic revolution start? | The Neolithic Era began when some groups of humans gave up the nomadic, hunter-gatherer lifestyle completely to begin farming. | What did the neolithic invent? | Farming started a revolution in the world and helped set us on a path that would eventually lead to the technological revolution and invention of different things. Inventions such as the plow helped in the planting of seeds.",What tools were used?,What tools were used during the Neolithic Revolution?,What tools were used in the neolithic event?,82.7501,0.7500,0.3303,1.00
39,REWRITTEN,"What was the neolithic revolution? | The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization. | When did the Neolithic revolution start and end? | The Neolithic Revolution—also referred to as the Agricultural Revolution—is thought to have begun about 12,000 years ago. | Why did the Neolithic revolution start? | The Neolithic Era began when some groups of humans gave up the nomadic, hunter-gatherer lifestyle completely to begin farming. | What did the neolithic invent? | Farming started a revolution in the world and helped set us on a path that would eventually lead to the technological revolution and invention of different things. Inventions such as the plow helped in the planting of seeds. | What tools were used in the neolithic event? | Scrapers. Scrapers are one of the original stone tools, found everywhere where people settled, long before the Neolithic Age began. ...Blades. ...Arrows and Spearheads. ...Axes. ...Adzes. ...Hammers and Chisels.",When was it brought to the british isles?,When was the Neolithic Revolution brought to the British Isles?,When was the neolithic event brought to the British isles?,97.0776,0.9000,0.3508,1.00
40,REWRITTEN,"What was the neolithic revolution? | The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization. | When did the Neolithic revolution start and end? | The Neolithic Revolution—also referred to as the Agricultural Revolution—is thought to have begun about 12,000 years ago. | Why did the Neolithic revolution start? | The Neolithic Era began when some groups of humans gave up the nomadic, hunter-gatherer lifestyle completely to begin farming. | What did the neolithic invent? | Farming started a revolution in the world and helped set us on a path that would eventually lead to the technological revolution and invention of different things. Inventions such as the plow helped in the planting of seeds. | What tools were used in the neolithic event? | Scrapers. Scrapers are one of the original stone tools, found everywhere where people settled, long before the Neolithic Age began. ...Blades. ...Arrows and Spearheads. ...Axes. ...Adzes. ...Hammers and Chisels. | When was the neolithic event brought to the British isles? | This change happened at various times in several different places around the world. The concept of farming that reached Britain between about 5000 BC and 4500 BC had spread across Europe from origins in Syria and Iraq between about 11000 BC and 9000 BC.",Describe the period that follows it.,Describe the period that follows the Neolithic Revolution.,Describe the period that follows the neolithic event?,82.7291,0.8750,0.5874,1.00
41,REWRITTEN,"What was the neolithic revolution? | The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization. | When did the Neolithic revolution start and end? | The Neolithic Revolution—also referred to as the Agricultural Revolution—is thought to have begun about 12,000 years ago. | Why did the Neolithic revolution start? | The Neolithic Era began when some groups of humans gave up the nomadic, hunter-gatherer lifestyle completely to begin farming. | What did the neolithic invent? | Farming started a revolution in the world and helped set us on a path that would eventually lead to the technological revolution and invention of different things. Inventions such as the plow helped in the planting of seeds. | What tools were used in the neolithic event? | Scrapers. Scrapers are one of the original stone tools, found everywhere where people settled, long before the Neolithic Age began. ...Blades. ...Arrows and Spearheads. ...Axes. ...Adzes. ...Hammers and Chisels. | When was the neolithic event brought to the British isles? | This change happened at various times in several different places around the world. The concept of farming that reached Britain between about 5000 BC and 4500 BC had spread across Europe from origins in Syria and Iraq between about 11000 BC and 9000 BC. | Describe the period that follows the neolithic event? | Towards the end of the Neolithic era, copper metallurgy is introduced, which marks a transition period to the Bronze Age, sometimes referred to as the Chalcolithic or Eneolithic Era.",What was its significance?,What was the significance of the period that follows the Neolithic event?,What was the significance of the neolithic event?,111.7513,0.8000,0.4280,0.00
42,REWRITTEN,"What was the neolithic revolution? | The Neolithic Revolution, also called the Agricultural Revolution, marked the transition in human history from small, nomadic bands of hunter-gatherers to larger, agricultural settlements and early civilization. | When did the Neolithic revolution start and end? | The Neolithic Revolution—also referred to as the Agricultural Revolution—is thought to have begun about 12,000 years ago. | Why did the Neolithic revolution start? | The Neolithic Era began when some groups of humans gave up the nomadic, hunter-gatherer lifestyle completely to begin farming. | What did the neolithic invent? | Farming started a revolution in the world and helped set us on a path that would eventually lead to the technological revolution and invention of different things. Inventions such as the plow helped in the planting of seeds. | What tools were used in the neolithic event? | Scrapers. Scrapers are one of the original stone tools, found everywhere where people settled, long before the Neolithic Age began. ...Blades. ...Arrows and Spearheads. ...Axes. ...Adzes. ...Hammers and Chisels. | When was the neolithic event brought to the British isles? | This change happened at various times in several different places around the world. The concept of farming that reached Britain between about 5000 BC and 4500 BC had spread across Europe from origins in Syria and Iraq between about 11000 BC and 9000 BC. | Describe the period that follows the neolithic event? | Towards the end of the Neolithic era, copper metallurgy is introduced, which marks a transition period to the Bronze Age, sometimes referred to as the Chalcolithic or Eneolithic Era. | What was the significance of the neolithic event? | The Neolithic Revolution, Neolithic Demographic Transition, Agricultural Revolution, or First Agricultural Revolution was the wide-scale transition of many human cultures during the Neolithic period from a lifestyle of hunting and gathering to one of agriculture and settlement, making an increasingly larger population possible",What were the houses like?,What were the houses like during the Neolithic period?,What were the houses like in the neolithic event?,90.0430,0.7778,0.4273,1.00
43,KEPT_ORIGINAL,,What are the best ways to cook a turkey?,What are the best ways to cook a turkey?,What are the best ways to cook a turkey?,82.4178,1.0000,1.0000,1.00
44,KEPT_ORIGINAL,What are the best ways to cook a turkey? | Heat the oven to 450°F to preheat and then drop the temperature to 350°F when putting the turkey into the oven. The turkey is done when it registers a minimum of 165° in the thickest part of the thigh.,Should I brine a turkey before smoking it?,Should I brine a turkey before smoking it?,Should I brine a turkey before smoking it?,82.6696,1.0000,1.0000,1.00
45,REWRITTEN,What are the best ways to cook a turkey? | Heat the oven to 450°F to preheat and then drop the temperature to 350°F when putting the turkey into the oven. The turkey is done when it registers a minimum of 165° in the thickest part of the thigh. | Should I brine a turkey before smoking it? | Use a brine before smoking to help keep meat moist while cooking and to add flavor.,How much salt do I use to brine it?,How much salt do I use to brine a turkey?,How much salt do I use to brine a turkey?,97.2074,1.0000,1.0000,1.00
46,REWRITTEN,What are the best ways to cook a turkey? | Heat the oven to 450°F to preheat and then drop the temperature to 350°F when putting the turkey into the oven. The turkey is done when it registers a minimum of 165° in the thickest part of the thigh. | Should I brine a turkey before smoking it? | Use a brine before smoking to help keep meat moist while cooking and to add flavor. | How much salt do I use to brine a turkey? | The basic ratio for turkey brine is two cups of kosher salt to two gallons of water. Some recipes include sweeteners or acidic ingredients to balance the saltiness.,What kind of wood should I use?,What kind of wood should I use for smoking a turkey?,What kind of wood should I use to brine a turkey?,97.4385,0.8182,0.6340,0.80
47,REWRITTEN,What are the best ways to cook a turkey? | Heat the oven to 450°F to preheat and then drop the temperature to 350°F when putting the turkey into the oven. The turkey is done when it registers a minimum of 165° in the thickest part of the thigh. | Should I brine a turkey before smoking it? | Use a brine before smoking to help keep meat moist while cooking and to add flavor. | How much salt do I use to brine a turkey? | The basic ratio for turkey brine is two cups of kosher salt to two gallons of water. Some recipes include sweeteners or acidic ingredients to balance the saltiness. | What kind of wood should I use to brine a turkey? | nonsense,How long should it be smoked for?,How long should a turkey be smoked for?,How long should a turkey be smoked for?,75.3534,1.0000,1.0000,1.00
48,KEPT_ORIGINAL,"What are the best ways to cook a turkey? | Heat the oven to 450°F to preheat and then drop the temperature to 350°F when putting the turkey into the oven. The turkey is done when it registers a minimum of 165° in the thickest part of the thigh. | Should I brine a turkey before smoking it? | Use a brine before smoking to help keep meat moist while cooking and to add flavor. | How much salt do I use to brine a turkey? | The basic ratio for turkey brine is two cups of kosher salt to two gallons of water. Some recipes include sweeteners or acidic ingredients to balance the saltiness. | What kind of wood should I use to brine a turkey? | nonsense | How long should a turkey be smoked for? | he rule of thumb is to smoke the turkey at 300 degrees, 15 minutes for each pound. We used a 17 pound Honeysuckle White turkey for this recipe, and smoked it at 275-300 degrees for just under 4 hours.",Is smoked turkey healthy?,Is smoked turkey healthy?,Is smoked turkey healthy?,46.2728,1.0000,1.0000,1.00
