sample_id,status,history,original_query,rewritten_query,groundtruth,Latency,RougeL,Bleu,LLMJ
10,REWRITTEN,"What is a physician's assistant? | physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients | What are the educational requirements required to become a physician's assistant? | Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program; | What does it cost to become a physician's assistant? | Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975. | What's the average starting salary for a physician's assistant in the UK? | Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships). | What's the average starting salary for a physician's assistant in the US? | An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries. | What school subjects are needed to become a registered nurse? | Courses that nursing students may be required to take include anatomy, physiology, microbiology, chemistry, nutrition, and psychology. Nursing students may also be required to take courses in liberal arts subjects. | What is the physician's assistant average salary vs a registered nurse? | Although many factors go into salaries, such as experience, specialty and geographic areas, PA's usually come out on top. According to the United States Bureau of Labor Statistics, the average salary for PA's in 2013 was about $90,000 a year. Nurses on the other hand made about $66,000 a year according to the BLS. | What the difference between a physician assistant and a nurse practitioner? | . Nurses follow a patient-centered model, in which they focus on disease prevention and health education and handle assessment, diagnosis and treatment. Physician assistants follow a disease-centered model, in which they focus on the biologic and pathologic components of health, and also practice assessment, diagnosis, and treatment. | Do nurse practitioners or physician assistants make more? | According to the Bureau of Labor and Statistics (BLS), the 2017 median pay for Nurse Practitioners is $110,930 per year, or $53.33 per hour. In comparison, 2017 median pay for Physician Assistants is $104,860 per year, or $50.41 per hour. | Is a physician assistants above a nurse practitioner? | Physician Assistants are licensed medical professionals who may work independently of the lead physician, while Nurse Practitioners are well trained, but not necessarily licensed caregivers, who must work under the close supervision of the attending doctor.",What is the fastest way to become a NP?,What is the fastest way to become a nurse practitioner?,What is the fastest way to become a nurse practitioner?,89.8948,1.0000,1.0000,1.00
11,REWRITTEN,"What is a physician's assistant? | physician assistants are medical providers who are licensed to diagnose and treat illness and disease and to prescribe medication for patients | What are the educational requirements required to become a physician's assistant? | Complete your bachelor's degree (a science or healthcare related major is usually best); Gain experience either working or volunteering in a healthcare setting; Apply to ARC-PA accredited physician assistant programs; Complete a 2-3 year, master's level PA program; | What does it cost to become a physician's assistant? | Average Cost Across all PA Schools for the 2017 Application Cycle is as Follows: Average cost of resident tuition for a 27-month physician assistant program is: $71,369. Average cost of non-resident tuition for a 27-month physician assistant program is: $89,975. | What's the average starting salary for a physician's assistant in the UK? | Typical starting salaries for physician associates are between £27,000 and £31,383 (though sometimes less for internships). | What's the average starting salary for a physician's assistant in the US? | An early career Physician Assistant (PA) with 1-4 years of experience earns an average total compensation (includes tips, bonus, and overtime pay) of $91,587 based on 4,392 salaries. | What school subjects are needed to become a registered nurse? | Courses that nursing students may be required to take include anatomy, physiology, microbiology, chemistry, nutrition, and psychology. Nursing students may also be required to take courses in liberal arts subjects. | What is the physician's assistant average salary vs a registered nurse? | Although many factors go into salaries, such as experience, specialty and geographic areas, PA's usually come out on top. According to the United States Bureau of Labor Statistics, the average salary for PA's in 2013 was about $90,000 a year. Nurses on the other hand made about $66,000 a year according to the BLS. | What the difference between a physician assistant and a nurse practitioner? | . Nurses follow a patient-centered model, in which they focus on disease prevention and health education and handle assessment, diagnosis and treatment. Physician assistants follow a disease-centered model, in which they focus on the biologic and pathologic components of health, and also practice assessment, diagnosis, and treatment. | Do nurse practitioners or physician assistants make more? | According to the Bureau of Labor and Statistics (BLS), the 2017 median pay for Nurse Practitioners is $110,930 per year, or $53.33 per hour. In comparison, 2017 median pay for Physician Assistants is $104,860 per year, or $50.41 per hour. | Is a physician assistants above a nurse practitioner? | Physician Assistants are licensed medical professionals who may work independently of the lead physician, while Nurse Practitioners are well trained, but not necessarily licensed caregivers, who must work under the close supervision of the attending doctor. | What is the fastest way to become a nurse practitioner? | Become a Registered Nurse. The first step to a career as a nurse practitioner is earning your credentials as a registered nurse (RN). ...Earn a Bachelor's Degree. ...Gain Experience. ...Earn a Graduate Degree. ...Obtain State License and Certification. ...Pursue Further Specialization.",How much longer does it take to become a doctor after being an NP?,How much longer does it take to become a doctor after becoming a nurse practitioner?,How much longer does it take to become a doctor after being a nurse practitioner?,126.8154,0.9333,0.8154,1.00
12,KEPT_ORIGINAL,,What are the main breeds of goat?,What are the main breeds of goat?,What are the main breeds of goat?,67.7080,1.0000,1.0000,1.00
13,REWRITTEN,What are the main breeds of goat? | Abaza...Zhongwei,Tell me about boer goats.,What are the main characteristics of Boer goats?,Tell me about boer goats,82.3487,0.3077,0.0000,0.80
14,REWRITTEN,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer.",What breed is good for meat?,What breed of goat is good for meat?,What breed of goats is good for meat,74.4604,0.8750,0.4317,1.00
15,REWRITTEN,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer. | What breed of goats is good for meat | Before Boer goats became available in the United States in the late 1980s, Spanish goats were the standard meat goat breed, especially in the South. These goats are descendants of the goats brought by Spanish explorers, making their way to the United States via Mexico.",Are angora goats good for it?,Are Angora goats good for meat?,Are angora goats good for meat?,67.1133,1.0000,0.6435,1.00
16,KEPT_ORIGINAL,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer. | What breed of goats is good for meat | Before Boer goats became available in the United States in the late 1980s, Spanish goats were the standard meat goat breed, especially in the South. These goats are descendants of the goats brought by Spanish explorers, making their way to the United States via Mexico. | Are angora goats good for meat? | Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa.",What about boer goats?,What about Boer goats?,Are boer goats good for meat?,52.8965,0.4000,0.0000,0.50
17,REWRITTEN,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer. | What breed of goats is good for meat | Before Boer goats became available in the United States in the late 1980s, Spanish goats were the standard meat goat breed, especially in the South. These goats are descendants of the goats brought by Spanish explorers, making their way to the United States via Mexico. | Are angora goats good for meat? | Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa. | Are boer goats good for meat? | Boer goats were bred in South Africa for meat and selected for their superior body shape, high growth rate, and fertility.",What are pygmies used for?,What are pygmy goats used for?,What are pygmy goats used for?,74.4713,1.0000,1.0000,1.00
18,REWRITTEN,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer. | What breed of goats is good for meat | Before Boer goats became available in the United States in the late 1980s, Spanish goats were the standard meat goat breed, especially in the South. These goats are descendants of the goats brought by Spanish explorers, making their way to the United States via Mexico. | Are angora goats good for meat? | Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa. | Are boer goats good for meat? | Boer goats were bred in South Africa for meat and selected for their superior body shape, high growth rate, and fertility. | What are pygmy goats used for? | While Pygmy goats are most commonly kept as pets or used as meat goats, they can also be used for milk production. Pygmy goats can produce, on average, between one to two quarts of 4.5% to 11% butterfat milk.",What is the best for fiber production?,What is the best breed of goat for fiber production?,What is the best goat for fiber production?,89.2036,0.8889,0.5877,1.00
19,KEPT_ORIGINAL,"What are the main breeds of goat? | Abaza...Zhongwei | Tell me about boer goats | The Boer goat is a breed of goat that was developed in South Africa in the early 1900s for meat production. Their name is derived from the Afrikaans (Dutch) word boer, meaning farmer. | What breed of goats is good for meat | Before Boer goats became available in the United States in the late 1980s, Spanish goats were the standard meat goat breed, especially in the South. These goats are descendants of the goats brought by Spanish explorers, making their way to the United States via Mexico. | Are angora goats good for meat? | Surplus or cull Angora and cashmere goats are also used for meat, although a good fiber-producing goat is generally a poor meat goat and vice versa. | Are boer goats good for meat? | Boer goats were bred in South Africa for meat and selected for their superior body shape, high growth rate, and fertility. | What are pygmy goats used for? | While Pygmy goats are most commonly kept as pets or used as meat goats, they can also be used for milk production. Pygmy goats can produce, on average, between one to two quarts of 4.5% to 11% butterfat milk. | What is the best goat for fiber production? | Mohair goats are the most productive fiber producing animals.",How long do Angora goats live?,How long do Angora goats live?,How long do Angora goats live?,67.3541,1.0000,1.0000,1.00
